"selection1_name","selection1_url","selection1_selection2","selection1_selection3","selection1_selection4","selection1_selection4_url"
"Dick Whittington","http://worldstories.org.uk/stories/dick-whittington-and-his-cat/","Language: English Origin: United Kingdom","A long time ago there was once a poor boy called Dick Whittington who had no Mummy and Daddy to look after him so he was often very hungry…","English","http://worldstories.org.uk/stories/dick-whittington-and-his-cat/english/"
"The Song of the Armadillo","http://worldstories.org.uk/stories/the-song-of-the-armadillo/","Language: English/Spanish Origin: Spain","Once there was an armadillo who lived in the Bolivian rainforest. He loved music more than anything else in the world and all he wanted to do was to be able to sing like many of the other animals could.","English","http://worldstories.org.uk/stories/the-song-of-the-armadillo/english/"
"The Gift of the Forest","http://worldstories.org.uk/stories/the-gift-of-the-forest/","Language: English/Tamil Origin: India","Venu had always loved the forest, ever since he could remember. It enchanted him, made him feel alive, safe and loved…","English","http://worldstories.org.uk/stories/the-gift-of-the-forest/english/"
"The Legend of the Mafumeira","http://worldstories.org.uk/stories/the-legend-of-la-lupuna/","Language: English/Portuguese Origin: Brazil","Deep within the forest there lives the tallest of all trees. They stretch their thick branches full of leaves up into the blue skies and give us oxygen to breathe. Their trunks are very wide and many of these beautiful giants have been in the forest for hundreds of years…","English","http://worldstories.org.uk/stories/the-legend-of-la-lupuna/english/"
"The First Sunrise","http://worldstories.org.uk/stories/the-first-sunrise/","Language: English Origin: Australia","A traditional tale from the Dreamtime about how the world became warm and light and why dawn is greeted with birdsong","English","http://worldstories.org.uk/stories/the-first-sunrise/english/"
"The Well","http://worldstories.org.uk/stories/the-well/","Language: English/Somali Origin: Somalia","A long time ago, there were four families who lived in a small village in Somalia. The first family would argue all of the time, the second family were very greedy…","English","http://worldstories.org.uk/stories/the-well/english/"
"The Boy Who Cried Wolf","http://worldstories.org.uk/stories/the-boy-who-cried-wolf/","Language: English/Urdu Origin: Pakistan","Once upon a time, there was a shepherd boy named Asif who lived in a village in one of the many beautiful valleys in Northern Pakistan…","English","http://worldstories.org.uk/stories/the-boy-who-cried-wolf/english/"
"The Tortoise and the Hare","http://worldstories.org.uk/stories/the-hare-and-the-tortoise/","Language: English Origin: United Kingdom","Once upon a time, in a field not too far from you, there was an energetic and happy hare and a sleepy tortoise…","English","http://worldstories.org.uk/stories/the-hare-and-the-tortoise/english/"
"The Beauty of Difference","http://worldstories.org.uk/stories/the-beauty-of-difference/","Language: English/Persian Origin: Iran","Shirin was still a relatively young girl when her parents sent her away from her home in Tehran to live in a big city in England called London.","English","http://worldstories.org.uk/stories/the-beauty-of-difference/english/"
"Bald Boy and the Magic Seal","http://worldstories.org.uk/stories/bald-boy-and-the-magic-seal/","Language: English/Turkish Origin: Turkey","In this tale Bald Boy discovers the true value of friendship.","English","http://worldstories.org.uk/stories/bald-boy-and-the-magic-seal/english/"
